===================Training Loss(Thu Jul 11 17:12:44 2019)=================
(epoch: 34, iters: 200, time: 0.125, data:2.419) loss_G: 2.052 loss_D: 0.675 
(epoch: 34, iters: 400, time: 0.135, data:19.420) loss_G: 1.279 loss_D: 0.660 
(epoch: 34, iters: 600, time: 0.125, data:36.351) loss_G: 1.231 loss_D: 0.701 
(epoch: 35, iters: 200, time: 0.135, data:2.429) loss_G: 1.661 loss_D: 0.664 
(epoch: 35, iters: 400, time: 0.125, data:19.600) loss_G: 1.620 loss_D: 0.618 
(epoch: 35, iters: 600, time: 0.120, data:36.540) loss_G: 1.091 loss_D: 0.692 
(epoch: 36, iters: 200, time: 0.130, data:2.429) loss_G: 3.013 loss_D: 0.628 
(epoch: 36, iters: 400, time: 0.125, data:19.290) loss_G: 1.208 loss_D: 0.654 
(epoch: 36, iters: 600, time: 0.125, data:36.241) loss_G: 1.561 loss_D: 0.661 
(epoch: 37, iters: 200, time: 0.125, data:2.459) loss_G: 1.366 loss_D: 0.661 
(epoch: 37, iters: 400, time: 0.125, data:19.310) loss_G: 1.446 loss_D: 0.679 
(epoch: 37, iters: 600, time: 0.125, data:36.121) loss_G: 2.065 loss_D: 0.665 
(epoch: 38, iters: 200, time: 0.125, data:2.449) loss_G: 1.547 loss_D: 0.702 
(epoch: 38, iters: 400, time: 0.125, data:19.360) loss_G: 1.273 loss_D: 0.691 
(epoch: 38, iters: 600, time: 0.130, data:36.510) loss_G: 1.235 loss_D: 0.676 
(epoch: 39, iters: 200, time: 0.130, data:2.499) loss_G: 1.509 loss_D: 0.628 
(epoch: 39, iters: 400, time: 0.125, data:20.399) loss_G: 1.430 loss_D: 0.677 
(epoch: 39, iters: 600, time: 0.125, data:37.370) loss_G: 1.799 loss_D: 0.671 
(epoch: 40, iters: 200, time: 0.125, data:2.419) loss_G: 2.052 loss_D: 0.664 
(epoch: 40, iters: 400, time: 0.125, data:19.120) loss_G: 1.156 loss_D: 0.663 
(epoch: 40, iters: 600, time: 0.125, data:35.938) loss_G: 0.853 loss_D: 0.687 
(epoch: 41, iters: 200, time: 0.130, data:2.439) loss_G: 1.798 loss_D: 0.642 
(epoch: 41, iters: 400, time: 0.125, data:19.310) loss_G: 1.782 loss_D: 0.684 
(epoch: 41, iters: 600, time: 0.125, data:36.161) loss_G: 1.392 loss_D: 0.675 
(epoch: 42, iters: 200, time: 0.120, data:2.539) loss_G: 1.811 loss_D: 0.679 
(epoch: 42, iters: 400, time: 0.125, data:19.261) loss_G: 2.053 loss_D: 0.701 
(epoch: 42, iters: 600, time: 0.125, data:35.992) loss_G: 1.401 loss_D: 0.687 
(epoch: 43, iters: 200, time: 0.125, data:2.439) loss_G: 1.351 loss_D: 0.662 
(epoch: 43, iters: 400, time: 0.125, data:19.170) loss_G: 1.285 loss_D: 0.687 
(epoch: 43, iters: 600, time: 0.125, data:35.891) loss_G: 1.463 loss_D: 0.689 
(epoch: 44, iters: 200, time: 0.120, data:2.429) loss_G: 1.360 loss_D: 0.669 
(epoch: 44, iters: 400, time: 0.120, data:19.170) loss_G: 1.366 loss_D: 0.685 
(epoch: 44, iters: 600, time: 0.125, data:35.861) loss_G: 1.772 loss_D: 0.723 
(epoch: 45, iters: 200, time: 0.125, data:2.439) loss_G: 1.997 loss_D: 0.677 
(epoch: 45, iters: 400, time: 0.125, data:19.140) loss_G: 1.752 loss_D: 0.664 
(epoch: 45, iters: 600, time: 0.120, data:35.861) loss_G: 0.915 loss_D: 0.686 
(epoch: 46, iters: 200, time: 0.125, data:2.439) loss_G: 1.646 loss_D: 0.670 
(epoch: 46, iters: 400, time: 0.120, data:19.150) loss_G: 1.133 loss_D: 0.704 
(epoch: 46, iters: 600, time: 0.125, data:35.861) loss_G: 1.542 loss_D: 0.648 
(epoch: 47, iters: 200, time: 0.125, data:2.469) loss_G: 1.857 loss_D: 0.656 
(epoch: 47, iters: 400, time: 0.125, data:19.200) loss_G: 1.359 loss_D: 0.667 
(epoch: 47, iters: 600, time: 0.125, data:35.911) loss_G: 1.402 loss_D: 0.678 
(epoch: 48, iters: 200, time: 0.125, data:2.459) loss_G: 1.604 loss_D: 0.618 
(epoch: 48, iters: 400, time: 0.130, data:19.190) loss_G: 1.318 loss_D: 0.700 
(epoch: 48, iters: 600, time: 0.120, data:36.091) loss_G: 1.364 loss_D: 0.678 
(epoch: 49, iters: 200, time: 0.125, data:2.469) loss_G: 1.964 loss_D: 0.641 
(epoch: 49, iters: 400, time: 0.125, data:19.180) loss_G: 1.494 loss_D: 0.665 
(epoch: 49, iters: 600, time: 0.120, data:35.911) loss_G: 1.658 loss_D: 0.654 
